make,price,mpg,repairs,weight,length,foreign,highprice,repairs_level,price_nominal,price_per_weight
AMC,3799,22,3,2640,168,0,0,1,12726.65,1.4390151515
AMC,4099,22,3,2930,186,0,0,1,13731.65,1.3989761092
AMC,4749,17,3,3350,173,0,0,1,15909.15,1.4176119403
Buick,4082,19,3,3400,200,0,0,1,13674.7,1.2005882353
Buick,4453,26,3,2230,170,0,0,1,14917.55,1.9968609865
Buick,4816,20,3,3250,196,0,0,1,16133.6,1.4818461538
Buick,5189,20,3,3280,200,0,0,1,17383.15,1.5820121951
Buick,5788,18,3,3670,218,0,0,1,19389.8,1.5771117166
Buick,7827,15,4,4080,222,0,1,2,26220.45,1.9183823529
Buick,10372,16,3,3880,207,0,1,1,34746.2,2.6731958763
Cadillac,11385,14,3,4330,221,0,1,1,38139.75,2.629330254
Cadillac,14500,14,2,3900,204,0,1,1,48575,3.7179487179
Cadillac,15906,21,3,4290,204,0,1,1,53285.1,3.7076923077
Chevrolet,3299,29,3,2110,163,0,0,1,11051.65,1.563507109
Chevrolet,3667,24,2,2750,179,0,0,1,12284.45,1.3334545455
Chevrolet,3955,19,3,3430,197,0,0,1,13249.25,1.1530612245
Chevrolet,4504,22,3,3180,193,0,0,1,15088.4,1.4163522013
Chevrolet,5104,22,2,3220,200,0,0,1,17098.4,1.5850931677
Chevrolet,5705,16,4,3690,212,0,0,2,19111.75,1.5460704607
